Provinsi,Total Tempat Tidur,Jumlah Penduduk,Rasio
ACEH,4218,5388.1,0.78283625
BALI,3133,4414.4,0.709722726
BANTEN,4531,12895.3,0.351368328
BENGKULU,1621,1994.3,0.812816527
D I YOGYAKARTA,2327,,0.593743621
DKI JAKARTA,4147,10576.4,0.392099391
GORONTALO,,1186.3,0.986259799
JAMBI,2603,3604.2,0.722212974
JAWA BARAT,19403,49565.2,0.391464172
JAWA TENGAH,22077,34738.2,0.635525157
JAWA TIMUR,19232,39955.9,0.481330667
KALIMANTAN BARAT,3159,5104.9,0.618817215
KALIMANTAN SELATAN,2709,4268.6,0.634634306
KALIMANTAN TENGAH,1368,2686.3,0.509250642
KALIMANTAN TIMUR,2967,3664.7,0.809616067
KALIMANTAN UTARA,644,708.4,0.909090909
KEPULAUAN BANGKA BELITUNG,1349,1469.8,0.917811947
KEPULAUAN RIAU,1545,2309.5,0.668975969
LAMPUNG,4376,8534.8,0.512724375
MALUKU,1506,1787.1,0.84270606
MALUKU UTARA,1006,1252.3,0.803321888
NUSA TENGGARA BARAT,2527,5225.9,0.483553072
NUSA TENGGARA TIMUR,3529,5513.4,0.640076904
PAPUA,2804,3393.1,0.826382954
PAPUA BARAT,1213,986,1.230223124
RIAU,3493,6951.2,0.502503165
SULAWESI BARAT,979,1378.1,0.710398375
SULAWESI SELATAN,5680,8888.8,0.63900639
SULAWESI TENGAH,2561,3081.7,0.831034818
SULAWESI TENGGARA,1766,2703.5,0.653227298
SULAWESI UTARA,3565,2512.9,1.418679613
SUMATERA BARAT,3517,5545.7,0.634185044
SUMATERA SELATAN,5142,8600.8,0.597851363
SUMATERA UTARA,11671,14798.4,0.788666342
